label,name,description,source,coding_instructions,id,complete,header,input,double_enter,type,valid_values,show_valid_values,unknown,value_labels,logic_checks,logic_prompts,logic_must_be_true,calculated,equation,visible,group1,group2
Centre ID,centre,Centre identifier,Project officer,Enter your centre ID,yes,no,yes,yes,no,qualitative,"1021,8317,1515,9999",no,"","","","","",no,"",yes,Metadata,""
Patient study ID,pid,Patient study identifier,Project officer,Enter the participant's study ID. This should be an unique number.,yes,no,yes,yes,no,quantitative,"1,20000",yes,"","","","","",no,"",yes,Metadata,""
Patient name,name,Patient's name,1. Participant 2. Participant relative/representative 3. Other person present who claim to know the participant 4. Hospital record,Only entered on paper format,no,no,yes,no,no,none,"","","","","","","",no,"",yes,Metadata,""
Patient ward number,ward,The number/name of the ward where the patient is admitted,1. Hospital record 2. Treating staff,Only entered on paper format,no,no,yes,no,no,none,"","","","","","","",no,"",yes,Metadata,""
Indoor file / Case record / Indoor patient department number,filenumber,The hospital specific record identification number,Hospital record,Only entered on paper format,no,no,yes,no,no,none,"","","","","","","",no,"",yes,Metadata,""
Patient's phone number(s),patientphonenumber,Phone number(s) to the patient.,1. Participant 2. Participant relative/representative,Only entered on paper format. Collect as many as possible.,no,no,yes,no,no,none,"","","","","","","",no,"",yes,Metadata,""
Representative's phone number(s),representativephonenumber,Phone number(s) to patient representative(s),1. Participant 2. Patient representative,Only entered on paper format. Representative means for example a relative/representative or friend or someone else that the participant consent to you calling for follow up. Collect as many as possible.,no,no,yes,no,no,none,"","","","","","","",no,"",yes,Metadata,""
Quality control record,qcrec,Indicates whether the record is part of a quality control session,Project officer,Enter whether this record is was filled out during a quality control session.,no,no,no,yes,yes,qualitative,"0,1",yes,"","""No"",""Yes""",qcrec == 1,"""You have indicated that this is a quality control record. Are you sure?""",no,no,"",yes,Metadata,""
Vital signs recorded by quality control person,vsqs,Indicates wheter vital signs where recorder by quality control person,Project officer,Enter whether vital signs where recorded by quality control person.,no,no,no,yes,yes,qualitative,"0,1",yes,"","""No"",""Yes""",vsqs == 1 && qcrec == 0,"""Vital signs cannot be recorded by quality control person if this is not a quality control record""",yes,no,"",yes,Metadata,""
Complete record,cr,Indicates whether the record is complete or needs to be completed later,Project officer,"If the record is complete enter 1. If you will need to complete it later, for example to enter 30 days or six months follow up, enter 0. Once you enter 1 you will have to double enter all data and the record will be locked for further editing.",no,yes,no,yes,no,qualitative,"0,1",yes,"","""No"",""Yes""","","","",no,"",yes,Metadata,""
Informed consent,ic,Enter whether informed consent was obtained,Project officer,If you obtained informed consent enter 1. If you did not enter 0.,no,no,no,yes,yes,qualitative,"0,1",yes,"","""No"",""Yes""","","","",no,"",yes,Metadata,""
Age,age,The participant's age at the time of injury,1. Participant 2. Participant relative/representative 3. Other person present who claim to know the participant 4. Hospital record,Enter the age in whole years rounded down. If not available code as 999.,no,no,no,yes,yes,quantitative,"18,120",yes,999,"","","","",no,"",yes,Demographics,""
Sex,sex,The participant's sex,1. Participant 2. Participant relative/representative 3. Other person present who claim to know the participant 4. Hospital record,If not available code as 999,no,no,no,yes,yes,qualitative,"0,1",yes,999,"""Female"",""Male""","","","",no,"",yes,Demographics,""
